character,episode,num_lines,
Soos,2,36,The Legend of the Gobblewonker
Soos,3,9,Headhunters
Soos,4,8,The Hand That Rocks the Mabel
Soos,5,5,The Inconveniencing
Soos,6,3,Dipper vs. Manliness
Soos,7,22,Double Dipper
Soos,8,0,Irrational Treasure
Soos,9,8,The Time Traveler's Pig
Soos,10,23,Fight Fighters
Soos,11,17,Little Dipper
Soos,12,27,Summerween
Soos,13,19,Boss Mabel
Soos,14,42,Bottomless Pit!
Soos,15,13,The Deep End
Soos,16,19,Carpet Diem
Soos,17,2,Boyz Crazy
Soos,18,44,Land Before Swine
Soos,19,35,Dreamscaperers
Soos,20,19,Gideon Rises
Soos,21,16,Scary-oke
Soos,22,28,Into the Bunker
Soos,23,9,The Golf War
Soos,24,3,Sock Opera
Soos,25,88,Soos and the Real Girl
Soos,26,8,Little Gift Shop of Horrors
Soos,27,22,Society of the Blind Eye
Soos,28,38,Blendin's Game
Soos,29,4,The Love God
Soos,30,0,Northwest Mansion Mystery
Soos,31,19,Not What He Seems
Soos,32,5,A Tale of Two Stans
Soos,33,5,"Dungeons, Dungeons, and More Dungeons"
Soos,34,8,The Stanchurian Candidate
Soos,35,0,The Last Mabelcorn
Soos,36,5,Roadside Attraction
Soos,37,4,Dipper and Mabel vs. the Future
Soos,38,10,Weirdmageddon Part 2
Soos,39,22,Weirdmageddon 2: Escape From Reality
Soos,40,21,Weirdmageddon 3: Take Back The Falls
Stan,1,28,Tourist Trapped
Stan,2,34,The Legend of the Gobblewonker
Stan,3,39,Headhunters
Stan,4,27,The Hand That Rocks the Mabel
Stan,5,11,The Inconveniencing
Stan,6,41,Dipper vs. Manliness
Stan,7,15,Double Dipper
Stan,8,20,Irrational Treasure
Stan,9,14,The Time Traveler's Pig
Stan,10,27,Fight Fighters
Stan,11,33,Little Dipper
Stan,12,24,Summerween
Stan,13,54,Boss Mabel
Stan,14,45,Bottomless Pit!
Stan,15,28,The Deep End
Stan,16,44,Carpet Diem
Stan,17,28,Boyz Crazy
Stan,18,71,Land Before Swine
Stan,19,48,Dreamscaperers
Stan,20,32,Gideon Rises
Stan,21,48,Scary-oke
Stan,22,3,Into the Bunker
Stan,23,13,The Golf War
Stan,24,5,Sock Opera
Stan,25,26,Soos and the Real Girl
Stan,26,52,Little Gift Shop of Horrors
Stan,27,1,Society of the Blind Eye
Stan,28,6,Blendin's Game
Stan,29,10,The Love God
Stan,30,0,Northwest Mansion Mystery
Stan,31,45,Not What He Seems
Stan,32,66,A Tale of Two Stans
Stan,33,41,"Dungeons, Dungeons, and More Dungeons"
Stan,34,56,The Stanchurian Candidate
Stan,35,4,The Last Mabelcorn
Stan,36,62,Roadside Attraction
Stan,37,6,Dipper and Mabel vs. the Future
Stan,38,2,Weirdmageddon Part 2
Stan,39,1,Weirdmageddon 2: Escape From Reality
Stan,40,65,Weirdmageddon 3: Take Back The Falls
Wendy,1,2,Tourist Trapped
Wendy,2,0,The Legend of the Gobblewonker
Wendy,3,1,Headhunters
Wendy,4,5,The Hand That Rocks the Mabel
Wendy,5,57,The Inconveniencing
Wendy,6,1,Dipper vs. Manliness
Wendy,7,24,Double Dipper
Wendy,8,0,Irrational Treasure
Wendy,9,29,The Time Traveler's Pig
Wendy,10,15,Fight Fighters
Wendy,11,0,Little Dipper
Wendy,12,11,Summerween
Wendy,13,16,Boss Mabel
Wendy,14,1,Bottomless Pit!
Wendy,15,12,The Deep End
Wendy,16,1,Carpet Diem
Wendy,17,18,Boyz Crazy
Wendy,18,0,Land Before Swine
Wendy,19,1,Dreamscaperers
Wendy,20,3,Gideon Rises
Wendy,21,6,Scary-oke
Wendy,22,51,Into the Bunker
Wendy,23,0,The Golf War
Wendy,24,2,Sock Opera
Wendy,25,8,Soos and the Real Girl
Wendy,26,0,Little Gift Shop of Horrors
Wendy,27,22,Society of the Blind Eye
Wendy,28,5,Blendin's Game
Wendy,29,22,The Love God
Wendy,30,0,Northwest Mansion Mystery
Wendy,31,1,Not What He Seems
Wendy,32,1,A Tale of Two Stans
Wendy,33,0,"Dungeons, Dungeons, and More Dungeons"
